sourcecode,latnad27,lonnad27,elevngvd29m,obsgrvless976000mg,itc,otc,faanom,cbanom267,latnad83,lonnad83,elevngvd88m
2773  88,41.672165,-121.60083,1801.6,3806.25,0.25,2.29,43.18,-157.46,41.6720428,-121.6019363,1802.83
5675 ngs,41.651669,-121.599,1940.6,3781.43,0.07,3.07,63.04,-152.57,41.6515472,-121.6001062,1941.86
2720 ngs,41.651833,-121.59883,1940.7,3782,0.06,3.07,63.63,-152.01,41.6517112,-121.5999362,1941.96
77480235,41.609001,-121.597,2107.6,3751.64,0.56,3.79,88.55,-144.55,41.6088799,-121.5981061,2108.87
77480235,41.622166,-121.59666,2186.6,3734.64,0.88,5.06,94.72,-145.64,41.6220447,-121.5977661,2187.86
2713 ngs,41.651669,-121.59666,1940.7,3781.4,0.06,3.08,63.04,-152.59,41.6515472,-121.5977661,1941.95
27130235,41.651669,-121.59666,1940.7,3781.36,0.06,3.08,63,-152.63,41.6515472,-121.5977661,1941.95
77482235,41.588001,-121.59517,2034.5,3768.69,0.12,2.95,84.96,-141.24,41.5878803,-121.596276,2035.77
77489235,41.525665,-121.595,1869.8,3780.31,0.16,2.46,51.42,-156.78,41.5255454,-121.5961058,1871.03
77482017,41.643501,-121.59417,1987.2,3773.44,0.09,3.42,70.15,-150.32,41.6433794,-121.595276,1988.46
77487017,41.5765,-121.59367,2031.8,3766.14,0.12,3.13,82.61,-143.11,41.5763795,-121.5947759,2033.06
77482235,41.506001,-121.59317,1736.1,3803.89,0.09,1.79,35.56,-158.39,41.5058818,-121.5942758,1737.31
77485235,41.548668,-121.59167,2021.4,3756.75,0.26,3.44,72.52,-151.59,41.548548,-121.5927758,2022.65
774814,41.568668,-121.59167,2091.7,3743.19,0.75,3.6,78.83,-152.5,41.5685477,-121.5927758,2092.96
2720 ngs,41.674168,-121.59084,1777,3811.5,0.2,2.26,40.66,-157.29,41.6740459,-121.591946,1778.22
27200771,41.674168,-121.59084,1777,3811.49,0.2,2.26,40.65,-157.3,41.6740459,-121.591946,1778.22
77486235,41.542168,-121.59016,1971.5,3764.81,0.09,3.05,65.78,-153.3,41.5420482,-121.5912657,1972.75
77481017,41.654999,-121.58817,1884.9,3788.89,0.21,2.77,53.03,-156.5,41.6548772,-121.5892759,1886.14
77488235,41.528667,-121.5875,1889.8,3777.14,0.23,2.57,54.14,-156.12,41.5285474,-121.5886056,1891.03
77484235,41.554165,-121.587,2057.5,3751.31,0.97,3.61,77.71,-149.56,41.554045,-121.5881057,2058.75
